STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VIII(1.0),NAAG Chapter 8: Capital,I,A,Annual,AUS,Australia,LE_N11N,Net capital stock,IX,Index,NAAG_VIII,Part VIII: Capital,2000,,54.5201092532326,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,N,Non-consolidated,D,Expenditure,LE,Closing balance sheet/positions/stocks,N11N,"Fixed assets, net",,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VIII(1.0),NAAG Chapter 8: Capital,I,A,Annual,AUT,Austria,LE_N11N,Net capital stock,IX,Index,NAAG_VIII,Part VIII: Capital,2000,,74.3050598801112,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,N,Non-consolidated,D,Expenditure,LE,Closing balance sheet/positions/stocks,N11N,"Fixed assets, net",,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VIII(1.0),NAAG Chapter 8: Capital,I,A,Annual,CAN,Canada,LE_N11N,Net capital stock,IX,Index,NAAG_VIII,Part VIII: Capital,2000,,58.4581157920034,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,N,Non-consolidated,D,Expenditure,LE,Closing balance sheet/positions/stocks,N11N,"Fixed assets, net",,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VIII(1.0),NAAG Chapter 8: Capital,I,A,Annual,CZE,Czechia,LE_N11N,Net capital stock,IX,Index,NAAG_VIII,Part VIII: Capital,2000,,65.7547218467607,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,N,Non-consolidated,D,Expenditure,LE,Closing balance sheet/positions/stocks,N11N,"Fixed assets, net",,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VIII(1.0),NAAG Chapter 8: Capital,I,A,Annual,DNK,Denmark,LE_N11N,Net capital stock,IX,Index,NAAG_VIII,Part VIII: Capital,2000,,79.3289508040155,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,N,Non-consolidated,D,Expenditure,LE,Closing balance sheet/positions/stocks,N11N,"Fixed assets, net",,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VIII(1.0),NAAG Chapter 8: Capital,I,A,Annual,EST,Estonia,LE_N11N,Net capital stock,IX,Index,NAAG_VIII,Part VIII: Capital,2000,,42.0944870396668,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,N,Non-consolidated,D,Expenditure,LE,Closing balance sheet/positions/stocks,N11N,"Fixed assets, net",,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VIII(1.0),NAAG Chapter 8: Capital,I,A,Annual,FIN,Finland,LE_N11N,Net capital stock,IX,Index,NAAG_VIII,Part VIII: Capital,2000,,73.9356271816976,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,N,Non-consolidated,D,Expenditure,LE,Closing balance sheet/positions/stocks,N11N,"Fixed assets, net",,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VIII(1.0),NAAG Chapter 8: Capital,I,A,Annual,FRA,France,LE_N11N,Net capital stock,IX,Index,NAAG_VIII,Part VIII: Capital,2000,,72.2238140274914,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,N,Non-consolidated,D,Expenditure,LE,Closing balance sheet/positions/stocks,N11N,"Fixed assets, net",,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VIII(1.0),NAAG Chapter 8: Capital,I,A,Annual,DEU,Germany,LE_N11N,Net capital stock,IX,Index,NAAG_VIII,Part VIII: Capital,2000,,86.0734815221355,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,N,Non-consolidated,D,Expenditure,LE,Closing balance sheet/positions/stocks,N11N,"Fixed assets, net",,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VIII(1.0),NAAG Chapter 8: Capital,I,A,Annual,GRC,Greece,LE_N11N,Net capital stock,IX,Index,NAAG_VIII,Part VIII: Capital,2000,,90.1826092518838,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,N,Non-consolidated,D,Expenditure,LE,Closing balance sheet/positions/stocks,N11N,"Fixed assets, net",,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
