STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,AUS,Australia,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,3.9358688,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,AUT,Austria,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,3.9033685,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,BEL,Belgium,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,4.3469259,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,CAN,Canada,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,5.30626,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,CZE,Czechia,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,2.8041674,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,DNK,Denmark,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,3.9521894,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,EST,Estonia,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,2.4317876,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,FIN,Finland,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,2.5715436,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,FRA,France,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,4.9677458,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,DEU,Germany,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,4.1935431,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,GRC,Greece,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,2.9444287,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,HUN,Hungary,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,3.7196716,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,IRL,Ireland,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,2.9920261,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,ITA,Italy,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,2.8003053,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,JPN,Japan,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,8.0875955,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,LVA,Latvia,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,2.0468713,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,LTU,Lithuania,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,1.5091476,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,LUX,Luxembourg,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,8.1214659,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,NLD,Netherlands,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,7.3711805,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_VII(1.0),NAAG Chapter 7: Corporations,I,A,Annual,NOR,Norway,LES11_FD4_B2G,Debt to gross operating surplus ratio of non-financial corporations,FCTR_B2G,Factor of gross operating surplus,NAAG_VII,Part VII : Corporations,2000,,2.4952986,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S11,Non-financial corporations,_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
