STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,AUT,Austria,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,28.1165696490136,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,BEL,Belgium,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,30.2625358652356,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,CRI,Costa Rica,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,15.0800337853566,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,CZE,Czechia,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,18.0911780639247,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,DNK,Denmark,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,46.1625974348491,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FIN,Finland,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,34.1237370404587,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,FRA,France,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,27.8133212280575,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,DEU,Germany,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,23.4954405867603,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,GRC,Greece,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,24.0200637573487,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,HUN,Hungary,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,26.1587472117362,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,ISL,Iceland,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,32.7083122743899,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_EXP(1.0),NAAG Chapter 6: Government,I,A,Annual,IRL,Ireland,ODAS13_D2_D5_D91_D611_D613,Total tax revenue of general government,_Z,Not applicable,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,26.8913980501551,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,N,Non-consolidated,C,Revenue,ODA,Total tax receipts,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
