STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,AUS,Australia,LES1M_FD4,Debt of households and NPISH,PT_B6N_S1M,Percentage of household and NPISH net disposable income,NAAG_V,Part V: Households,2000,,127.86055,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S1M,Households and non-profit institutions serving households (NPISH),_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,AUT,Austria,LES1M_FD4,Debt of households and NPISH,PT_B6N_S1M,Percentage of household and NPISH net disposable income,NAAG_V,Part V: Households,2000,,75.572368,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S1M,Households and non-profit institutions serving households (NPISH),_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,BEL,Belgium,LES1M_FD4,Debt of households and NPISH,PT_B6N_S1M,Percentage of household and NPISH net disposable income,NAAG_V,Part V: Households,2000,,71.446949,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S1M,Households and non-profit institutions serving households (NPISH),_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,CAN,Canada,LES1M_FD4,Debt of households and NPISH,PT_B6N_S1M,Percentage of household and NPISH net disposable income,NAAG_V,Part V: Households,2000,,117.59432,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S1M,Households and non-profit institutions serving households (NPISH),_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,CZE,Czechia,LES1M_FD4,Debt of households and NPISH,PT_B6N_S1M,Percentage of household and NPISH net disposable income,NAAG_V,Part V: Households,2000,,21.800773,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S1M,Households and non-profit institutions serving households (NPISH),_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,DNK,Denmark,LES1M_FD4,Debt of households and NPISH,PT_B6N_S1M,Percentage of household and NPISH net disposable income,NAAG_V,Part V: Households,2000,,196.16445,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S1M,Households and non-profit institutions serving households (NPISH),_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,EST,Estonia,LES1M_FD4,Debt of households and NPISH,PT_B6N_S1M,Percentage of household and NPISH net disposable income,NAAG_V,Part V: Households,2000,,20.144785,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S1M,Households and non-profit institutions serving households (NPISH),_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,FIN,Finland,LES1M_FD4,Debt of households and NPISH,PT_B6N_S1M,Percentage of household and NPISH net disposable income,NAAG_V,Part V: Households,2000,,67.58542,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S1M,Households and non-profit institutions serving households (NPISH),_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,FRA,France,LES1M_FD4,Debt of households and NPISH,PT_B6N_S1M,Percentage of household and NPISH net disposable income,NAAG_V,Part V: Households,2000,,77.903382,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S1M,Households and non-profit institutions serving households (NPISH),_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_V(1.0),NAAG Chapter 5: Households,I,A,Annual,DEU,Germany,LES1M_FD4,Debt of households and NPISH,PT_B6N_S1M,Percentage of household and NPISH net disposable income,NAAG_V,Part V: Households,2000,,116.70187,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S1M,Households and non-profit institutions serving households (NPISH),_Z,Not applicable,_Z,Not applicable,L,Liabilities (or net incurrence of liabilities),LE,Closing balance sheet/positions/stocks,FD4,Total gross debt,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
