STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_II(1.0),NAAG Chapter 2: Income,I,A,Annual,AUS,Australia,B5N_R,Real net national income,IX,Index,NAAG_II,Part II:Income,2000,,50.7631222162674,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B5N_R,"Real balance of primary incomes, net / Real national income, net",_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_II(1.0),NAAG Chapter 2: Income,I,A,Annual,AUT,Austria,B5N_R,Real net national income,IX,Index,NAAG_II,Part II:Income,2000,,83.3458526145929,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B5N_R,"Real balance of primary incomes, net / Real national income, net",_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_II(1.0),NAAG Chapter 2: Income,I,A,Annual,BEL,Belgium,B5N_R,Real net national income,IX,Index,NAAG_II,Part II:Income,2000,,84.7781704832524,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B5N_R,"Real balance of primary incomes, net / Real national income, net",_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_II(1.0),NAAG Chapter 2: Income,I,A,Annual,CAN,Canada,B5N_R,Real net national income,IX,Index,NAAG_II,Part II:Income,2000,,71.9302695616406,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B5N_R,"Real balance of primary incomes, net / Real national income, net",_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_II(1.0),NAAG Chapter 2: Income,I,A,Annual,CHL,Chile,B5N_R,Real net national income,IX,Index,NAAG_II,Part II:Income,2000,,44.9035378731983,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B5N_R,"Real balance of primary incomes, net / Real national income, net",_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_II(1.0),NAAG Chapter 2: Income,I,A,Annual,CRI,Costa Rica,B5N_R,Real net national income,IX,Index,NAAG_II,Part II:Income,2000,,49.0616046887937,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B5N_R,"Real balance of primary incomes, net / Real national income, net",_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_II(1.0),NAAG Chapter 2: Income,I,A,Annual,CZE,Czechia,B5N_R,Real net national income,IX,Index,NAAG_II,Part II:Income,2000,,62.6405141189132,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B5N_R,"Real balance of primary incomes, net / Real national income, net",_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_II(1.0),NAAG Chapter 2: Income,I,A,Annual,DNK,Denmark,B5N_R,Real net national income,IX,Index,NAAG_II,Part II:Income,2000,,72.8748745276541,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B5N_R,"Real balance of primary incomes, net / Real national income, net",_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_II(1.0),NAAG Chapter 2: Income,I,A,Annual,EST,Estonia,B5N_R,Real net national income,IX,Index,NAAG_II,Part II:Income,2000,,45.8035275092408,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B5N_R,"Real balance of primary incomes, net / Real national income, net",_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_II(1.0),NAAG Chapter 2: Income,I,A,Annual,FIN,Finland,B5N_R,Real net national income,IX,Index,NAAG_II,Part II:Income,2000,,84.2781597733801,,N,Neither seasonally adjusted nor calendar adjusted,W,World,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B5N_R,"Real balance of primary incomes, net / Real national income, net",_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),IX,Index,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
