STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,AUS,Australia,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1970,,0.848225451704279,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,CAN,Canada,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1970,,2.19511836415885,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,DNK,Denmark,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1970,,-1.53233446732975,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,FRA,France,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1970,,1.29248427040538,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,AUS,Australia,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1971,,1.97623720088781,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,CAN,Canada,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1971,,-0.286259883700501,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,DNK,Denmark,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1971,,1.33038502909279,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,FRA,France,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1971,,0.451776560212556,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,NZL,New Zealand,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1971,,2.3867881326852,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_III_CG(1.0),NAAG Chapter 3A: Components of aggregate demand,I,A,Annual,NOR,Norway,B11_CG,Net exports of goods and services contribution to GDP growth,PD,Percentage points,NAAG_III,Part III: Expenditure,1971,,-1.91412651589643,,N,Neither seasonally adjusted nor calendar adjusted,WXD,Rest of the world,S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B11,External balance of goods and services,_Z,Not applicable,,,,,,,,,,,L,Chain linked volume,FO1,"Contribution to growth rate, flow over stock, period on period",,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
