STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_OTEF(1.0),NAAG Chapter 6A: Government expenditure by function,I,A,Annual,AUS,Australia,OTES13F,Expenditure by function of general government,GF01,General public services,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,4.89679135767216,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,P,Partially consolidated or aggregate containing both consolidated and non-consolidated items,D,Expenditure,OTE,Total government expenditure,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_OTEF(1.0),NAAG Chapter 6A: Government expenditure by function,I,A,Annual,AUT,Austria,OTES13F,Expenditure by function of general government,GF01,General public services,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,8.34542433272077,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,P,Partially consolidated or aggregate containing both consolidated and non-consolidated items,D,Expenditure,OTE,Total government expenditure,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_OTEF(1.0),NAAG Chapter 6A: Government expenditure by function,I,A,Annual,BEL,Belgium,OTES13F,Expenditure by function of general government,GF01,General public services,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,11.410137594568,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,P,Partially consolidated or aggregate containing both consolidated and non-consolidated items,D,Expenditure,OTE,Total government expenditure,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_OTEF(1.0),NAAG Chapter 6A: Government expenditure by function,I,A,Annual,CZE,Czechia,OTES13F,Expenditure by function of general government,GF01,General public services,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,3.51889819560778,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,P,Partially consolidated or aggregate containing both consolidated and non-consolidated items,D,Expenditure,OTE,Total government expenditure,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_OTEF(1.0),NAAG Chapter 6A: Government expenditure by function,I,A,Annual,DNK,Denmark,OTES13F,Expenditure by function of general government,GF01,General public services,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,8.67797223148887,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,P,Partially consolidated or aggregate containing both consolidated and non-consolidated items,D,Expenditure,OTE,Total government expenditure,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_OTEF(1.0),NAAG Chapter 6A: Government expenditure by function,I,A,Annual,EST,Estonia,OTES13F,Expenditure by function of general government,GF01,General public services,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,3.5468664207738,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,P,Partially consolidated or aggregate containing both consolidated and non-consolidated items,D,Expenditure,OTE,Total government expenditure,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_OTEF(1.0),NAAG Chapter 6A: Government expenditure by function,I,A,Annual,FIN,Finland,OTES13F,Expenditure by function of general government,GF01,General public services,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,7.50150308682709,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,P,Partially consolidated or aggregate containing both consolidated and non-consolidated items,D,Expenditure,OTE,Total government expenditure,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_OTEF(1.0),NAAG Chapter 6A: Government expenditure by function,I,A,Annual,FRA,France,OTES13F,Expenditure by function of general government,GF01,General public services,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,7.82535773417794,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,P,Partially consolidated or aggregate containing both consolidated and non-consolidated items,D,Expenditure,OTE,Total government expenditure,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_OTEF(1.0),NAAG Chapter 6A: Government expenditure by function,I,A,Annual,DEU,Germany,OTES13F,Expenditure by function of general government,GF01,General public services,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,6.82578439750946,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,P,Partially consolidated or aggregate containing both consolidated and non-consolidated items,D,Expenditure,OTE,Total government expenditure,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG_VI@DF_NAAG_OTEF(1.0),NAAG Chapter 6A: Government expenditure by function,I,A,Annual,GRC,Greece,OTES13F,Expenditure by function of general government,GF01,General public services,PT_B1GQ,Percentage of GDP,NAAG_VI,Part VI: General Government,2000,,12.5006269557217,,N,Neither seasonally adjusted nor calendar adjusted,_Z,Not applicable,S13,General government,_Z,Not applicable,P,Partially consolidated or aggregate containing both consolidated and non-consolidated items,D,Expenditure,OTE,Total government expenditure,_Z,Not applicable,,,,,,,,,,,V,Current prices,N,Non transformed data,,,,,,,F,Free (free for publication),2,Two,A,Normal value,0,Units,_Z,Not applicable
